name,furigana_name,furigana_initial,prefecture_name,commentary,image,user_id
真田幸村,さなだゆきむら,さ行,,昌幸の次男。蟄居先の紀伊九度山から大坂城に入り、大坂の陣で寡兵ながらも徳川の大軍を相手に奮戦した。その戦いぶりは「真田日本一の兵」と称賛された。,sanadarokumonsen-b.png,1
柴田勝家,しばたかついえ,さ行,,「瓶割り柴田」の異名を取った織田家中随一の猛将。本能寺の変後、主導権をめぐって羽柴秀吉と争い、賎ヶ岳で対戦。敗北し、越前北ノ庄で自害した。  ,futatsukarikane-b.png,1
斯波義統,しばよしむね,さ行,,尾張守護。三管領の一つに数えられた斯波家も義統の頃には力を失っていた。守護代・織田信友の織田信長暗殺計画を信長に知らせたため信友に殺された。  ,marunifutatsuhiki-b.png,1
島左近,しまさこん,さ行,,筒井家臣。のち浪人し、石田三成に高禄で召し抱えられる。「三成に過ぎたるもの」と謳われた名将。関ヶ原合戦で縦横無尽の活躍をし、壮絶な戦死を遂げた。,mitsubakashiwa-b.png,1
島津家久,しまづいえひさ,さ行,,島津貴久の四男。沖田畷合戦でわずか三千の兵で六万の龍造寺軍を破った。秀吉の九州征伐軍に降伏、豊臣秀長と会見。その直後に急死した。毒殺ともいう。  ,shimadujuuji-b.png,1
島津貴久,しまづたかひさ,さ行,,庶流・伊作島津家からの養子縁組で１６代当主を世襲。本家筋の実久を１５３９年に破り、一族を掌握した。海外交易にも目を向けた「島津家中興の祖」。,shimadujuuji-b.png,1
島津忠恒,しまづただつね,さ行,,島津家第１８代当主。江戸時代における薩摩藩の藩祖でもある。学問を重んじ、自らも多くの学問を修めた。海国・薩摩の城下・港湾を整備した功績も大きい。,marunijuumonji-b.png,1
島津歳久,しまづとしひさ,さ行,,島津貴久の三男。豊臣秀吉の九州征伐軍に最後まで抵抗した。梅北国兼が秀吉に謀叛を起こした際、歳久の家臣が多く荷担したため、自害させられた。  ,shimadujuuji-b.png,1
島津義久,しまづよしひさ,さ行,,有能な弟たちや勇猛な家臣団を率い、九州統一を果たすべく邁進する。達成目前にして、羽柴秀吉の九州征伐を受ける。降伏し、島津家の命脈を守る。  ,marunijuumonji-b.png,1
島津義弘,しまづよしひろ,さ行,,島津家を九州統一に導いた猛将。大友・龍造寺家を粉砕し、「鬼島津」の武名を明国まで鳴り響かせた。関ヶ原での敵中突破など、その武功は数知れない。  ,marunijuumonji-b.png,1
清水宗治,しみずむねはる,さ行,,毛利家臣。対織田家の最前線である備中高松城を任された。豊臣秀吉の「水攻め」では落城寸前まで追い込まれ、宗治は城兵の助命と引き替えに自刃をする。  ,mitsumorisantoumigidomoe-b.png,1
神保長職,じんぼうながもと,さ行,,越中富山城主。上杉謙信の攻撃を受け、増山城に逃れる。のちに謙信に降り、一向一揆勢と戦う。しかし、実質上の家中の主導権は、小島職鎮に奪われた。  ,marunitatefutatsuhiki-b.png,1
陶晴賢,すえはるかた,さ行,,大内家筆頭家老。「西国無双の侍大将」と評された。文弱な主君・義隆を自刃させ、主家を傀儡化する。しかし、毛利元就の謀略にあい、厳島で敗死した。  ,karahanabishi-b.png,1
鈴木重朝,すずきしげとも,さ行,,紀州・雑賀衆の出身。重朝率いる鉄砲隊は、種子島銃を改良した「雑賀銃」を操る精鋭であった。豊臣秀吉に仕え、朝鮮や関ヶ原を転戦した。  ,yatagarasu-b.png,1
諏訪頼重,すわよりしげ,さ行,,信州諏訪大社大祝。義兄・武田信玄と対立し、戦いに及んだが敗北。甲斐に幽閉され、自刃させられた。文武両道の武将であったと伝わる。  ,suwakajinoha-b.png,1
仙石秀久,せんごくひでひさ,さ行,,豊臣家臣。戸次川合戦に総大将として出陣したが大敗、謹慎処分を受ける。小田原征伐では、甲胄に鈴をつけて奮戦し、その功により信濃小諸城主となった。  ,eirakusen-b.png,1
相馬義胤,そうまよしたね,さ行,,相馬家第１６代。伊達家との争いに終始した。関ヶ原の合戦で西軍に属したため戦後所領を没収されかけたが、伊達政宗の取りなしで本領を安堵された。,soumatsunagiuma-b.png,1
十河一存,そごうかずなが,さ行,,三好長慶の弟。讃岐十河家を継ぐ。讃岐衆を統率して畿内を席巻し、世に「鬼十河」と恐れられた猛将。有馬権現に参詣途上、落馬したけがにより死亡した。  ,kugyounihiougi-b.png,1
大道寺政繁,だいどうじまさしげ,た行,,北条家譜代の家に生まれ、内政に手腕を発揮した。小田原合戦では前田利家軍の攻撃を受け、降伏。忍城攻めに協力したが、戦後、豊臣秀吉に切腹させられた。  ,maruniagehachou-b.png,1
高橋紹運,たかはししょううん,た行,,子・宗茂の養父である立花道雪と共に、衰退しつつある大友家を支える。島津義久が大軍で攻めてきた際には、岩屋城で島津の兵を道連れに玉砕した。  ,dakihanagyouyou-b.png,1
高山右近,たかやまうこん,た行,,織田家臣。高槻城主。友照の子。父と同じくキリスト教に入信する。各地の合戦で活躍するが、後に改宗を拒否したため改易され、幕府の命で呂宋へ追放された。,shichiyou-b.png,1
滝川一益,たきがわかずます,た行,,信長麾下の猛将として転戦し、武田家攻めでは抜群の軍功をあげる。しかし、本能寺の変後、北条軍に大敗して清洲会議に参加できず、失意のうちに病死する。  ,marunitatemokkou-b.png,1
武田勝頼,たけだかつより,た行,,武田信玄の四男。兄・義信の死去によって、家督を継ぐ。長篠の合戦で、織田・徳川連合軍に敗れる。１５８２年、侵攻してきた織田軍に追いつめられ、自害。,takedahishi-b.png,1
武田信玄,たけだしんげん,た行,,甲斐守護。信虎の嫡男。父の苛烈な政策に反対して父を追放、当主となる。精強な騎馬軍団を率い、臨機応変の知略で織田信長を苦しめた。通称「甲斐の虎」。,takedahishi-b.png,1
武田信繁,たけだのぶしげ,た行,,武田信玄の弟。文武に優れ、家中の人望高く、兄の副将として活躍。川中島の合戦で自らの死と引き換えに信玄を守り、「まことの武将」と高く評価された。  ,takedahishi-b.png,1
竹中半兵衛,たけなかはんべえ,た行,,羽柴秀吉の軍師。名城稲葉山を、わずか十数人で乗っ取った。その智謀に惚れ込んだ秀吉が、「三顧の礼」をもって軍師に迎えたという。  ,kyuumaizasa-b.png,1
立花道雪,たちばなどうせつ,た行,,大友家を支えた名将。若い頃に落雷に遭い、歩行不能となる。しかし、合戦では輿に乗って常に先陣を切ったため、家臣たちは「雷神の化身」と畏れ敬った。  ,dakihanagyouyou-b.png,1
